# nXPico M pin definitions
#
# CN1 connector (Raspberry Pi Pico-compatible)
GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
# Internal: nRF9151 modem UART (GPIO16-19 not on CN1)
MODEM_TX,GPIO16
MODEM_RX,GPIO17
MODEM_CTS,GPIO18
MODEM_RTS,GPIO19
# Internal: nRF9151 modem control
MODEM_RESET,GPIO29
MODEM_PWR_EN,GPIO24
MODEM_PWR_SYNC,GPIO25
# Internal: RGB LED (WS2812)
LED,GPIO23
NEOPIXEL,GPIO23
